Zone,Shore_end,VegCom,Total_area,year,Month,Initial_year,InitialVeg_area,InitialPercent_vegarea,Final_year,Final_Veg_Area,Final_percentveg,Percent_change,,Total
Upper,west,,0.395821785,3,Dec,2021,0.08,21.3,2023,0.234925119,59.4,38,,=
Middle,west,,0.34019238,3,Dec,2021,0.12,36.1,2023,0.281918054,82.9,46.8,,
Lower,west,,0.856099166,3,Dec,2021,0.34,39.8,2023,0.789195218,92.2,52.4,,
Upper,east,,0.440206319,3,Dec,2021,0.12,26.8,2023,0.379980954,86.3,59.5,,
Middle,east,,0.337588308,3,Dec,2021,0.14,40.1,2023,0.290707617,86.1,46,,
Lower,east,,0.684961586,3,Dec,2021,0.14,21,2023,0.483356488,70.6,49.5,,
All,west,,1.592110668,3,Dec,2021,0.55,34.4,2023,1.305753526,82,47.6,,
All,east,,1.46275895,3,Dec,2021,0.4,27.2,2023,1.130821262,77.3,50.1,,
Upper,west,,0.395821785,2,Aug,2022,0.28,70.8,2023,0.234925119,59.4,-11.4,,
Middle,west,,0.34019238,2,Aug,2022,0.27,78.8,2023,0.281918054,82.9,4.1,,
Lower,west,,0.856099166,2,Aug,2022,0.65,75.8,2023,0.789195218,92.2,16.4,,
Upper,east,,0.440206319,2,Aug,2022,0.32,72.5,2023,0.379980954,86.3,13.8,,
Middle,east,,0.337588308,2,Aug,2022,0.27,78.7,2023,0.290707617,86.1,7.4,,
Lower,east,,0.684961586,2,Aug,2022,0.32,46.2,2023,0.483356488,70.6,24.3,,
All,west,,1.592110668,2,Aug,2022,1.2,75.2,2023,1.305753526,82,6.9,,
All,east,,1.46275895,2,Aug,2022,0.9,61.6,2023,1.130821262,77.3,15.7,,
Upper,west,,0.395821785,1,Dec,2021,0.08,21.3,2022,0.280051848,70.8,49.4,,
Middle,west,,0.34019238,1,Dec,2021,0.12,36.1,2022,0.267964001,78.8,42.7,,
Lower,west,,0.856099166,1,Dec,2021,0.34,39.8,2022,0.64867446,75.8,36,,
Upper,east,,0.440206319,1,Dec,2021,0.12,26.8,2022,0.319222136,72.5,45.7,,
Middle,east,,0.337588308,1,Dec,2021,0.14,40.1,2022,0.265639856,78.7,38.6,,
Lower,east,,0.684961586,1,Dec,2021,0.14,21,2022,0.316667595,46.2,25.2,,
All,west,,1.592110668,1,Dec,2021,0.55,34.4,2022,1.196690308,75.2,40.8,,
All,east,,1.46275895,1,Dec,2021,0.4,27.2,2022,0.901529587,61.6,34.5,,
Upper,west,mixedveg,0.395821785,3,Dec,2021,0.07,16.82,2023,0.11,27.11,10.29,,
Middle,west,mixedveg,0.34019238,3,Dec,2021,0.01,2.8,2023,0.01,2.94,0.14,,
Lower,west,mixedveg,0.856099166,3,Dec,2021,0,0,2023,0,0,0.08,,
Upper,east,mixedveg,0.440206319,3,Dec,2021,0.06,13.57,2023,0.15,34.03,20.46,,
Middle,east,mixedveg,0.337588308,3,Dec,2021,0,0.31,2023,0,0,0.04,,
Lower,east,mixedveg,0.684961586,3,Dec,2021,0,0,2023,0,0,0,,
All,west,mixedveg,1.592110668,3,Dec,2021,0.08,4.78,2023,0.12,7.23,2.45,,
All,east,mixedveg,1.46275895,3,Dec,2021,0.06,4.16,2023,0.13,8.72,4.56,,
Upper,west,pickleweed,0.395821785,3,Dec,2021,0.02,4.48,2023,0.13,32.23,27.75,,
Middle,west,pickleweed,0.34019238,3,Dec,2021,0.11,33.27,2023,0.27,80.41,47.14,,
Lower,west,pickleweed,0.856099166,3,Dec,2021,0.15,17.17,2023,0.26,30.87,13.7,,
Upper,east,pickleweed,0.440206319,3,Dec,2021,0.06,13.26,2023,0.23,52.29,39.03,,
Middle,east,pickleweed,0.337588308,3,Dec,2021,0.13,39.77,2023,0.28,82.45,42.68,,
Lower,east,pickleweed,0.684961586,3,Dec,2021,0.13,19.6,2023,0.18,26.09,6.49,,
All,west,pickleweed,1.592110668,3,Dec,2021,0.13,8.43,2023,0.67,41.8,33.37,,
All,east,pickleweed,1.46275895,3,Dec,2021,0.28,19.36,2023,0.69,46.98,27.62,,
Upper,west,cordgrass,0.395821785,3,Dec,2021,0,0,2023,0,0.01,0.01,,
Middle,west,cordgrass,0.34019238,3,Dec,2021,0,0.01,2023,0,0.36,0.35,,
Lower,west,cordgrass,0.856099166,3,Dec,2021,0.19,22.63,2023,0.52,61.2,38.57,,
Upper,east,cordgrass,0.440206319,3,Dec,2021,0,0,2023,0,0,0,,
Middle,east,cordgrass,0.337588308,3,Dec,2021,0,0.01,2023,0.011192387,3.315395256,3.305395256,,
Lower,east,cordgrass,0.684961586,3,Dec,2021,0.05,7.79,2023,0.3,44.48,36.69,,
All,west,cordgrass,1.592110668,3,Dec,2021,0.19,12.17,2023,0.53,32.99,20.82,,
All,east,cordgrass,1.46275895,3,Dec,2021,0.05,3.65,2023,0.32,21.59,17.94,,
Upper,west,mixedveg,0.395821785,2,Aug,2022,0.17,43.6,2023,0.11,27.11,-16.49,,
Middle,west,mixedveg,0.34019238,2,Aug,2022,0.01,2.42,2023,0.01,2.1,-0.32,,
Lower,west,mixedveg,0.856099166,2,Aug,2022,0,0,2023,0,0,0,,
Upper,east,mixedveg,0.440206319,2,Aug,2022,0.14,31.88,2023,0.11,24.38,-7.5,,
Middle,east,mixedveg,0.337588308,2,Aug,2022,0,0.17,2023,0,0.35,0.18,,
Lower,east,mixedveg,0.684961586,2,Aug,2022,0,0,2023,0,0,0,,
All,west,mixedveg,1.592110668,2,Aug,2022,0.18,11.36,2023,0.12,7.23,-4.13,,
All,east,mixedveg,1.46275895,2,Aug,2022,0.14,9.63,2023,0.13,8.72,-0.91,,
Upper,west,pickleweed,0.395821785,2,Aug,2022,0.11,27.16,2023,0.13,32.23,5.07,,
Middle,west,pickleweed,0.34019238,2,Aug,2022,0.26,76.32,2023,0.27,80.41,4.09,,
Lower,west,pickleweed,0.856099166,2,Aug,2022,0.27,31.85,2023,0.26,30.87,-0.98,,
Upper,east,pickleweed,0.440206319,2,Aug,2022,0.18,40.63,2023,0.23,52.29,11.66,,
Middle,east,pickleweed,0.337588308,2,Aug,2022,0.26,78.43,2023,0.28,82.45,4.02,,
Lower,east,pickleweed,0.684961586,2,Aug,2022,0.18,25.71,2023,0.18,26.09,0.38,,
All,west,pickleweed,1.592110668,2,Aug,2022,0.64,40.18,2023,0.67,41.8,1.62,,
All,east,pickleweed,1.46275895,2,Aug,2022,0.62,42.37,2023,0.69,46.98,4.61,,
Upper,west,cordgrass,0.395821785,2,Aug,2022,0,0,2023,0,0.01,0.01,,
Middle,west,cordgrass,0.34019238,2,Aug,2022,0,0.03,2023,0,0.36,0.33,,
Lower,west,cordgrass,0.856099166,2,Aug,2022,0.38,43.92,2023,0.52,61.2,17.28,,
Upper,east,cordgrass,0.440206319,2,Aug,2022,0,0,2023,0,0,0,,
Middle,east,cordgrass,0.337588308,2,Aug,2022,0,0.09,2023,0.011192387,3.315395256,3.225395256,,
Lower,east,cordgrass,0.684961586,2,Aug,2022,0.14,20.52,2023,0.3,44.48,23.96,,
All,west,cordgrass,1.592110668,2,Aug,2022,0.38,23.62,2023,0.53,32.99,9.37,,
All,east,cordgrass,1.46275895,2,Aug,2022,0.14,9.63,2023,0.32,21.59,11.96,,
Upper,west,mixedveg,0.395821785,0,Aug,2023,0.11,27.11,,,,,,59.35
Middle,west,mixedveg,0.34019238,0,Aug,2023,0.01,2.1,,,,,,
Lower,west,mixedveg,0.856099166,0,Aug,2023,0,0.08,,,,,,
Upper,east,mixedveg,0.440206319,0,Aug,2023,0.149792328,34.027755,,,,,,86.317755
Middle,east,mixedveg,0.337588308,0,Aug,2023,0,0,,82.45,,,,
Lower,east,mixedveg,0.684961586,0,Aug,2023,0,0,,,,,,
All,west,mixedveg,1.592110668,0,Aug,2023,0.12,7.23,,,,,,
All,east,mixedveg,1.46275895,0,Aug,2023,0.13,8.72,,,,,,
Upper,west,pickleweed,0.395821785,0,Aug,2023,0.13,32.23,,,,,,
Middle,west,pickleweed,0.34019238,0,Aug,2023,0.27,80.41,,,,,,
Lower,west,pickleweed,0.856099166,0,Aug,2023,0.26,30.87,,,,,,
Upper,east,pickleweed,0.440206319,0,Aug,2023,0.23,52.29,,,,,,
Middle,east,pickleweed,0.337588308,0,Aug,2023,0.28,82.45,,,,,,
Lower,east,pickleweed,0.684961586,0,Aug,2023,0.18,26.09,,,,,,
All,west,pickleweed,1.592110668,0,Aug,2023,0.67,41.8,,,,,,
All,east,pickleweed,1.46275895,0,Aug,2023,0.69,46.98,,,,,,
Upper,west,cordgrass,0.395821785,0,Aug,2023,0,0.01,,,,,,
Middle,west,cordgrass,0.34019238,0,Aug,2023,0,0.36,,,,,,
Lower,west,cordgrass,0.856099166,0,Aug,2023,0.52,61.2,,,,,,
Upper,east,cordgrass,0.440206319,0,Aug,2023,0,0,,,,,,
Middle,east,cordgrass,0.337588308,0,Aug,2023,0,0,,,,,,
Lower,east,cordgrass,0.684961586,0,Aug,2023,0.3,44.48,,,,,,
All,west,cordgrass,1.592110668,0,Aug,2023,0.53,32.99,,,,,,
All,east,cordgrass,1.46275895,0,Aug,2023,0.32,21.59,,,,,,
Upper,west,mixedveg,0.395821785,1,Dec,2021,0.07,16.82,2022,0.17255914,43.6,26.8,,
Middle,west,mixedveg,0.34019238,1,Dec,2021,0.01,2.8,2022,0.008235652,2.4,-0.4,,
Lower,west,mixedveg,0.856099166,1,Dec,2021,0,0,2022,0,0,0,,
Upper,east,mixedveg,0.440206319,1,Dec,2021,0.06,13.57,2022,0.140359732,31.9,18.3,,
Middle,east,mixedveg,0.337588308,1,Dec,2021,0,0.31,2022,0.000574758,0.2,-0.1,,
Lower,east,mixedveg,0.684961586,1,Dec,2021,0,0,2022,0,0,0,,
All,west,mixedveg,1.592110668,1,Dec,2021,0.08,4.78,2022,0.180794792,11.4,6.6,,
All,east,mixedveg,1.46275895,1,Dec,2021,0.06,4.16,2022,0.14093449,9.6,5.4,,
Upper,west,pickleweed,0.395821785,1,Dec,2021,0.02,4.48,2022,0.107492708,27.2,22.7,,
Middle,west,pickleweed,0.34019238,1,Dec,2021,0.11,33.27,2022,0.259619218,76.3,43,,
Lower,west,pickleweed,0.856099166,1,Dec,2021,0.15,17.17,2022,0.272648863,31.8,14.6,,
Upper,east,pickleweed,0.440206319,1,Dec,2021,0.06,13.26,2022,0.178862404,40.6,27.3,,
Middle,east,pickleweed,0.337588308,1,Dec,2021,0.13,39.77,2022,0.264758761,78.4,38.6,,
Lower,east,pickleweed,0.684961586,1,Dec,2021,0.13,19.6,2022,0.176086996,25.7,6.1,,
All,west,pickleweed,1.592110668,1,Dec,2021,0.13,8.43,2022,0.639760789,40.2,31.8,,
All,east,pickleweed,1.46275895,1,Dec,2021,0.28,19.36,2022,0.619708161,42.4,23,,
Upper,west,cordgrass,0.395821785,1,Dec,2021,0,0,2022,0,0,0,,
Middle,west,cordgrass,0.34019238,1,Dec,2021,0,0.01,2022,0.000109131,0,0,,
Lower,west,cordgrass,0.856099166,1,Dec,2021,0.19,22.63,2022,0.376025597,43.9,21.3,,
Upper,east,cordgrass,0.440206319,1,Dec,2021,0,0,2022,0,0,0,,
Middle,east,cordgrass,0.337588308,1,Dec,2021,0,0.01,2022,0.000306337,0.1,0.1,,
Lower,east,cordgrass,0.684961586,1,Dec,2021,0.05,7.79,2022,0.140580599,20.5,12.7,,
All,west,cordgrass,1.592110668,1,Dec,2021,0.19,12.17,2022,0.376134728,23.6,11.4,,
All,east,cordgrass,1.46275895,1,Dec,2021,0.05,3.65,2022,0.140886936,9.6,6,,
